"Población de la C.A. de Euskadi por ámbitos territoriales, según grandes grupos de edad y sexo. 01/01/2025"


;"Total";;;"0  - 19";;;"20 -64";;;">= 65"
;"Total";"Hombres";"Mujeres";"Total";"Hombres";"Mujeres";"Total";"Hombres";"Mujeres";"Total";"Hombres";"Mujeres"
"Ermua";15.558;7.711;7.847;2.513;1.313;1200;8.792;4.481;4.311;4.253;1.917;2.336
"Errenteria";39.779;19.264;20.515;6.627;3.407;3220;23.485;11.819;11.666;9.667;4.038;5.629
"Errezil";602;333;269;124;71;53;359;196;163;119;66;53
"Erriberagoitia/Ribera Alta";898;506;392;134;69;65;575;325;250;189;112;77
"Errigoiti";499;273;226;79;38;41;291;163;128;129;72;57
"Eskoriatza";4.227;2.144;2.083;758;388;370;2.508;1.313;1.195;961;443;518
"Etxebarri";11.901;5.877;6.024;2.731;1.429;1302;7.220;3.571;3.649;1.950;877;1.073
"Etxebarria";700;343;357;120;55;65;412;218;194;168;70;98
"Ezkio-Itsaso";632;339;293;110;65;45;358;185;173;164;89;75
"Forua";950;453;497;158;74;84;528;258;270;264;121;143
"Fruiz";594;282;312;124;56;68;361;174;187;109;52;57
"Gabiria";542;316;226;80;46;34;339;202;137;123;68;55
"Gaintza";124;70;54;21;9;12;76;44;32;27;17;10
"Galdakao";24.788;12.123;12.665;3.866;2.030;1836;14.266;7.130;7.136;6.656;2.963;3.693
"Galdames";835;450;385;129;68;61;486;272;214;220;110;110
"Gamiz-Fika";1.409;711;698;227;114;113;818;409;409;364;188;176
"Garai";319;157;162;69;29;40;185;98;87;65;30;35
"Gatika";1.635;819;816;315;159;156;947;481;466;373;179;194
"Gautegiz Arteaga";896;462;434;129;68;61;543;291;252;224;103;121
"Gaztelu";179;98;81;42;17;25;100;56;44;37;25;12
"Gernika-Lumo";16.889;8.081;8.808;3.175;1.648;1527;9.539;4.660;4.879;4.175;1.773;2.402
"Getaria";2.931;1.489;1.442;564;280;284;1.793;938;855;574;271;303
"Getxo";75.015;35.037;39.978;12.217;6.178;6039;40.898;19.663;21.235;21.900;9.196;12.704
"Gizaburuaga";203;111;92;39;19;20;135;76;59;29;16;13
"Gordexola";1.720;877;843;293;165;128;1.054;535;519;373;177;196
"Gorliz";6.105;2.981;3.124;1.078;558;520;3.657;1.790;1.867;1.370;633;737
"Güeñes";6.728;3.253;3.475;1.234;637;597;4.073;2.016;2.057;1.421;600;821
"Harana/Valle de Arana";224;125;99;23;12;11;121;73;48;80;40;40
"Hernani";20.428;9.959;10.469;3.607;1.825;1782;12.264;6.136;6.128;4.557;1.998;2.559
"Hernialde";323;168;155;49;27;22;192;95;97;82;46;36
"Hondarribia";16.960;8.349;8.611;2.921;1.502;1419;9.662;4.901;4.761;4.377;1.946;2.431
"Ibarra";4.076;1.998;2.078;778;418;360;2.171;1.073;1.098;1.127;507;620
"Ibarrangelu";685;355;330;86;39;47;414;236;178;185;80;105
"Idiazabal";2.279;1.153;1.126;480;262;218;1.240;643;597;559;248;311
