prov,edad,periodo,nac,prov_cod
Araba/Álava,22,1998,16,01
Araba/Álava,22,1999,19,01
Araba/Álava,22,2000,21,01
Araba/Álava,22,2001,21,01
Araba/Álava,22,2002,23,01
Araba/Álava,22,2003,25,01
Araba/Álava,22,2004,31,01
Araba/Álava,22,2005,25,01
Araba/Álava,22,2006,38,01
Araba/Álava,22,2007,46,01
Araba/Álava,22,2008,47,01
Araba/Álava,22,2009,29,01
Araba/Álava,22,2010,38,01
Araba/Álava,22,2011,24,01
Araba/Álava,22,2012,27,01
Araba/Álava,22,2013,30,01
Araba/Álava,22,2014,34,01
Araba/Álava,22,2015,27,01
Araba/Álava,22,2016,22,01
Araba/Álava,22,2017,31,01
Araba/Álava,22,2018,25,01
Araba/Álava,22,2019,37,01
Araba/Álava,22,2020,33,01
Araba/Álava,22,2021,21,01
Araba/Álava,22,2022,29,01
Araba/Álava,22,2023,30,01
Araba/Álava,22,2024,23,01
Araba/Álava,23,1996,22,01
Araba/Álava,23,1997,25,01
Araba/Álava,23,1998,30,01
Araba/Álava,23,1999,25,01
Araba/Álava,23,2000,36,01
Araba/Álava,23,2001,28,01
Araba/Álava,23,2002,26,01
Araba/Álava,23,2003,30,01
Araba/Álava,23,2004,36,01
Araba/Álava,23,2005,26,01
Araba/Álava,23,2006,39,01
Araba/Álava,23,2007,42,01
Araba/Álava,23,2008,55,01
Araba/Álava,23,2009,50,01
Araba/Álava,23,2010,41,01
Araba/Álava,23,2011,43,01
Araba/Álava,23,2012,30,01
Araba/Álava,23,2013,30,01
Araba/Álava,23,2014,52,01
Araba/Álava,23,2015,33,01
Araba/Álava,23,2016,40,01
Araba/Álava,23,2017,26,01
Araba/Álava,23,2018,35,01
Araba/Álava,23,2019,42,01
Araba/Álava,23,2020,36,01
Araba/Álava,23,2021,28,01
Araba/Álava,23,2022,33,01
Araba/Álava,23,2023,31,01
Araba/Álava,23,2024,45,01
Araba/Álava,24,1996,41,01
Araba/Álava,24,1997,21,01
Araba/Álava,24,1998,35,01
Araba/Álava,24,1999,27,01
Araba/Álava,24,2000,34,01
Araba/Álava,24,2001,30,01
Araba/Álava,24,2002,40,01
Araba/Álava,24,2003,31,01
Araba/Álava,24,2004,38,01
Araba/Álava,24,2005,37,01
Araba/Álava,24,2006,43,01
Araba/Álava,24,2007,57,01
Araba/Álava,24,2008,41,01
Araba/Álava,24,2009,63,01
Araba/Álava,24,2010,59,01
Araba/Álava,24,2011,58,01
Araba/Álava,24,2012,45,01
Araba/Álava,24,2013,38,01
Araba/Álava,24,2014,42,01
Araba/Álava,24,2015,39,01
Araba/Álava,24,2016,42,01
Araba/Álava,24,2017,45,01
Araba/Álava,24,2018,38,01
Araba/Álava,24,2019,41,01
Araba/Álava,24,2020,31,01
Araba/Álava,24,2021,39,01
Araba/Álava,24,2022,45,01
Araba/Álava,24,2023,43,01
Araba/Álava,24,2024,37,01
Araba/Álava,25,1996,47,01
Araba/Álava,25,1997,42,01
Araba/Álava,25,1998,45,01
Araba/Álava,25,1999,44,01
Araba/Álava,25,2000,54,01
Araba/Álava,25,2001,43,01
Araba/Álava,25,2002,40,01
Araba/Álava,25,2003,55,01
Araba/Álava,25,2004,42,01
Araba/Álava,25,2005,38,01
Araba/Álava,25,2006,61,01
Araba/Álava,25,2007,57,01
Araba/Álava,25,2008,74,01
Araba/Álava,25,2009,79,01
Araba/Álava,25,2010,54,01
Araba/Álava,25,2011,59,01
Araba/Álava,25,2012,44,01
Araba/Álava,25,2013,64,01
Araba/Álava,25,2014,47,01
Araba/Álava,25,2015,51,01
Araba/Álava,25,2016,50,01
Araba/Álava,25,2017,58,01
Araba/Álava,25,2018,39,01
Araba/Álava,25,2019,36,01
Araba/Álava,25,2020,39,01
Araba/Álava,25,2021,42,01
Araba/Álava,25,2022,51,01
Araba/Álava,25,2023,42,01
Araba/Álava,25,2024,50,01
Araba/Álava,26,1996,80,01
Araba/Álava,26,1997,60,01
Araba/Álava,26,1998,55,01
Araba/Álava,26,1999,62,01
Araba/Álava,26,2000,54,01
Araba/Álava,26,2001,49,01
Araba/Álava,26,2002,56,01
Araba/Álava,26,2003,57,01
Araba/Álava,26,2004,79,01
Araba/Álava,26,2005,54,01
Araba/Álava,26,2006,58,01
Araba/Álava,26,2007,65,01
Araba/Álava,26,2008,61,01
Araba/Álava,26,2009,86,01
Araba/Álava,26,2010,79,01
Araba/Álava,26,2011,89,01
Araba/Álava,26,2012,59,01
Araba/Álava,26,2013,61,01
Araba/Álava,26,2014,84,01
Araba/Álava,26,2015,55,01
Araba/Álava,26,2016,47,01
Araba/Álava,26,2017,58,01
Araba/Álava,26,2018,60,01
Araba/Álava,26,2019,66,01
Araba/Álava,26,2020,46,01
Araba/Álava,26,2021,46,01
Araba/Álava,26,2022,46,01
Araba/Álava,26,2023,56,01
Araba/Álava,26,2024,55,01
Araba/Álava,27,1996,99,01
Araba/Álava,27,1997,105,01
Araba/Álava,27,1998,92,01
Araba/Álava,27,1999,81,01
Araba/Álava,27,2000,56,01
Araba/Álava,27,2001,85,01
Araba/Álava,27,2002,75,01
Araba/Álava,27,2003,81,01
Araba/Álava,27,2004,80,01
Araba/Álava,27,2005,78,01
Araba/Álava,27,2006,82,01
Araba/Álava,27,2007,92,01
Araba/Álava,27,2008,94,01
Araba/Álava,27,2009,88,01
Araba/Álava,27,2010,99,01
Araba/Álava,27,2011,82,01
Araba/Álava,27,2012,83,01
Araba/Álava,27,2013,72,01
Araba/Álava,27,2014,81,01
Araba/Álava,27,2015,74,01
Araba/Álava,27,2016,76,01
Araba/Álava,27,2017,71,01
Araba/Álava,27,2018,60,01
Araba/Álava,27,2019,68,01
Araba/Álava,27,2020,65,01
Araba/Álava,27,2021,50,01
Araba/Álava,27,2022,56,01
Araba/Álava,27,2023,54,01
Araba/Álava,27,2024,78,01
Araba/Álava,28,1996,138,01
Araba/Álava,28,1997,126,01
Araba/Álava,28,1998,114,01
Araba/Álava,28,1999,116,01
Araba/Álava,28,2000,105,01
Araba/Álava,28,2001,102,01
Araba/Álava,28,2002,110,01
Araba/Álava,28,2003,95,01
Araba/Álava,28,2004,127,01
Araba/Álava,28,2005,102,01
Araba/Álava,28,2006,106,01
Araba/Álava,28,2007,100,01
Araba/Álava,28,2008,109,01
Araba/Álava,28,2009,95,01
Araba/Álava,28,2010,97,01
Araba/Álava,28,2011,99,01
Araba/Álava,28,2012,118,01
Araba/Álava,28,2013,100,01
Araba/Álava,28,2014,86,01
Araba/Álava,28,2015,87,01
Araba/Álava,28,2016,99,01
Araba/Álava,28,2017,91,01
Araba/Álava,28,2018,88,01
Araba/Álava,28,2019,78,01
Araba/Álava,28,2020,74,01
Araba/Álava,28,2021,85,01
Araba/Álava,28,2022,55,01
Araba/Álava,28,2023,74,01
Araba/Álava,28,2024,66,01
Araba/Álava,29,1996,193,01
Araba/Álava,29,1997,151,01
Araba/Álava,29,1998,162,01
Araba/Álava,29,1999,176,01
Araba/Álava,29,2000,136,01
Araba/Álava,29,2001,151,01
Araba/Álava,29,2002,134,01
Araba/Álava,29,2003,146,01
Araba/Álava,29,2004,141,01
Araba/Álava,29,2005,149,01
Araba/Álava,29,2006,135,01
Araba/Álava,29,2007,173,01
Araba/Álava,29,2008,144,01
Araba/Álava,29,2009,162,01
Araba/Álava,29,2010,144,01
Araba/Álava,29,2011,140,01
Araba/Álava,29,2012,130,01
Araba/Álava,29,2013,129,01
Araba/Álava,29,2014,133,01
Araba/Álava,29,2015,126,01
Araba/Álava,29,2016,103,01
Araba/Álava,29,2017,120,01
Araba/Álava,29,2018,78,01
Araba/Álava,29,2019,100,01
Araba/Álava,29,2020,86,01
Araba/Álava,29,2021,90,01
Araba/Álava,29,2022,85,01
Araba/Álava,29,2023,66,01
Araba/Álava,29,2024,84,01
Araba/Álava,30,1996,227,01
Araba/Álava,30,1997,201,01
Araba/Álava,30,1998,180,01
Araba/Álava,30,1999,204,01
Araba/Álava,30,2000,193,01
Araba/Álava,30,2001,187,01
Araba/Álava,30,2002,171,01
Araba/Álava,30,2003,188,01
Araba/Álava,30,2004,201,01
Araba/Álava,30,2005,210,01
Araba/Álava,30,2006,212,01
Araba/Álava,30,2007,184,01
Araba/Álava,30,2008,151,01
Araba/Álava,30,2009,167,01
Araba/Álava,30,2010,169,01
Araba/Álava,30,2011,206,01
Araba/Álava,30,2012,183,01
Araba/Álava,30,2013,150,01
Araba/Álava,30,2014,160,01
Araba/Álava,30,2015,163,01
Araba/Álava,30,2016,144,01
Araba/Álava,30,2017,113,01
Araba/Álava,30,2018,133,01
Araba/Álava,30,2019,119,01
Araba/Álava,30,2020,103,01
Araba/Álava,30,2021,111,01
Araba/Álava,30,2022,106,01
Araba/Álava,30,2023,104,01
Araba/Álava,30,2024,85,01
Araba/Álava,31,1996,225,01
Araba/Álava,31,1997,213,01
Araba/Álava,31,1998,207,01
Araba/Álava,31,1999,192,01
Araba/Álava,31,2000,231,01
Araba/Álava,31,2001,197,01
Araba/Álava,31,2002,221,01
Araba/Álava,31,2003,254,01
Araba/Álava,31,2004,224,01
Araba/Álava,31,2005,236,01
Araba/Álava,31,2006,213,01
Araba/Álava,31,2007,229,01
Araba/Álava,31,2008,215,01
Araba/Álava,31,2009,242,01
Araba/Álava,31,2010,247,01
Araba/Álava,31,2011,205,01
Araba/Álava,31,2012,215,01
Araba/Álava,31,2013,194,01
Araba/Álava,31,2014,223,01
Araba/Álava,31,2015,191,01
Araba/Álava,31,2016,169,01
Araba/Álava,31,2017,152,01
Araba/Álava,31,2018,151,01
Araba/Álava,31,2019,156,01
Araba/Álava,31,2020,124,01
Araba/Álava,31,2021,133,01
Araba/Álava,31,2022,125,01
Araba/Álava,31,2023,106,01
Araba/Álava,31,2024,114,01
Araba/Álava,32,1996,212,01
Araba/Álava,32,1997,254,01
Araba/Álava,32,1998,237,01
Araba/Álava,32,1999,226,01
Araba/Álava,32,2000,255,01
Araba/Álava,32,2001,274,01
Araba/Álava,32,2002,241,01
Araba/Álava,32,2003,265,01
Araba/Álava,32,2004,251,01
Araba/Álava,32,2005,267,01
Araba/Álava,32,2006,263,01
Araba/Álava,32,2007,276,01
Araba/Álava,32,2008,249,01
Araba/Álava,32,2009,250,01
Araba/Álava,32,2010,245,01
Araba/Álava,32,2011,273,01
Araba/Álava,32,2012,248,01
Araba/Álava,32,2013,234,01
Araba/Álava,32,2014,242,01
Araba/Álava,32,2015,228,01
Araba/Álava,32,2016,208,01
Araba/Álava,32,2017,232,01
Araba/Álava,32,2018,186,01
Araba/Álava,32,2019,157,01
Araba/Álava,32,2020,188,01
Araba/Álava,32,2021,143,01
Araba/Álava,32,2022,134,01
Araba/Álava,32,2023,136,01
Araba/Álava,32,2024,124,01
Araba/Álava,33,1996,226,01
Araba/Álava,33,1997,193,01
Araba/Álava,33,1998,221,01
Araba/Álava,33,1999,241,01
Araba/Álava,33,2000,248,01
Araba/Álava,33,2001,222,01
Araba/Álava,33,2002,246,01
Araba/Álava,33,2003,257,01
Araba/Álava,33,2004,249,01
Araba/Álava,33,2005,285,01
Araba/Álava,33,2006,266,01
Araba/Álava,33,2007,286,01
Araba/Álava,33,2008,305,01
Araba/Álava,33,2009,329,01
Araba/Álava,33,2010,290,01
Araba/Álava,33,2011,313,01
Araba/Álava,33,2012,286,01
Araba/Álava,33,2013,239,01
Araba/Álava,33,2014,230,01
Araba/Álava,33,2015,246,01
Araba/Álava,33,2016,262,01
Araba/Álava,33,2017,226,01
Araba/Álava,33,2018,207,01
Araba/Álava,33,2019,170,01
Araba/Álava,33,2020,155,01
Araba/Álava,33,2021,182,01
Araba/Álava,33,2022,144,01
Araba/Álava,33,2023,151,01
Araba/Álava,33,2024,138,01
Araba/Álava,34,1996,200,01
Araba/Álava,34,1997,183,01
Araba/Álava,34,1998,209,01
Araba/Álava,34,1999,233,01
Araba/Álava,34,2000,245,01
Araba/Álava,34,2001,232,01
Araba/Álava,34,2002,214,01
Araba/Álava,34,2003,259,01
Araba/Álava,34,2004,280,01
Araba/Álava,34,2005,249,01
Araba/Álava,34,2006,283,01
Araba/Álava,34,2007,295,01
