prov_cod,prov,comarca_cod,comarca_cod_full,comarca,comarca_es,comarca_eu,municipio_cod,municipio_cod_full,municipio,municipio_norm
01,Araba/Álava,06,0106,Arabako Kantaurialdea / Cantábrica Alavesa,Arabako Kantaurialdea / Cantábrica Alavesa,Arabako Kantaurialdea,042,01042,Okondo,Okondo
20,Gipuzkoa,01,2001,Bidasoa Beherea / Bajo Bidasoa,Bidasoa Beherea / Bajo Bidasoa,Bidasoa Beherea,036,20036,Hondarribia,Hondarribia
20,Gipuzkoa,01,2001,Bidasoa Beherea / Bajo Bidasoa,Bidasoa Beherea / Bajo Bidasoa,Bidasoa Beherea,045,20045,Irun,Irun
20,Gipuzkoa,02,2002,Debabarrena / Bajo Deba,Debabarrena / Bajo Deba,Debabarrena,029,20029,Deba,Deba
20,Gipuzkoa,02,2002,Debabarrena / Bajo Deba,Debabarrena / Bajo Deba,Debabarrena,030,20030,Eibar,Eibar
20,Gipuzkoa,02,2002,Debabarrena / Bajo Deba,Debabarrena / Bajo Deba,Debabarrena,032,20032,Elgoibar,Elgoibar
20,Gipuzkoa,02,2002,Debabarrena / Bajo Deba,Debabarrena / Bajo Deba,Debabarrena,901,20901,Mendaro,Mendaro
20,Gipuzkoa,02,2002,Debabarrena / Bajo Deba,Debabarrena / Bajo Deba,Debabarrena,056,20056,Mutriku,Mutriku
20,Gipuzkoa,02,2002,Debabarrena / Bajo Deba,Debabarrena / Bajo Deba,Debabarrena,065,20065,Soraluze-Placencia de las Armas,Soraluze-Placencia de las Armas
20,Gipuzkoa,03,2003,Debagoiena / Alto Deba,Debagoiena / Alto Deba,Debagoiena,011,20011,Antzuola,Antzuola
20,Gipuzkoa,03,2003,Debagoiena / Alto Deba,Debagoiena / Alto Deba,Debagoiena,013,20013,Aretxabaleta,Aretxabaleta
20,Gipuzkoa,03,2003,Debagoiena / Alto Deba,Debagoiena / Alto Deba,Debagoiena,055,20055,Arrasate/Mondragón,Arrasate / Mondragón
20,Gipuzkoa,03,2003,Debagoiena / Alto Deba,Debagoiena / Alto Deba,Debagoiena,074,20074,Bergara,Bergara
20,Gipuzkoa,03,2003,Debagoiena / Alto Deba,Debagoiena / Alto Deba,Debagoiena,033,20033,Elgeta,Elgeta
20,Gipuzkoa,03,2003,Debagoiena / Alto Deba,Debagoiena / Alto Deba,Debagoiena,034,20034,Eskoriatza,Eskoriatza
20,Gipuzkoa,03,2003,Debagoiena / Alto Deba,Debagoiena / Alto Deba,Debagoiena,068,20068,Leintz-Gatzaga,Leintz-Gatzaga
20,Gipuzkoa,03,2003,Debagoiena / Alto Deba,Debagoiena / Alto Deba,Debagoiena,059,20059,Oñati,Oñati
20,Gipuzkoa,04,2004,Donostialdea,Donostialdea,Donostialdea,009,20009,Andoain,Andoain
20,Gipuzkoa,04,2004,Donostialdea,Donostialdea,Donostialdea,903,20903,Astigarraga,Astigarraga
20,Gipuzkoa,04,2004,Donostialdea,Donostialdea,Donostialdea,069,20069,Donostia / San Sebastián,Donostia / San Sebastián
20,Gipuzkoa,04,2004,Donostialdea,Donostialdea,Donostialdea,067,20067,Errenteria,Errenteria
20,Gipuzkoa,04,2004,Donostialdea,Donostialdea,Donostialdea,040,20040,Hernani,Hernani
20,Gipuzkoa,04,2004,Donostialdea,Donostialdea,Donostialdea,902,20902,Lasarte-Oria,Lasarte-Oria
20,Gipuzkoa,04,2004,Donostialdea,Donostialdea,Donostialdea,053,20053,Lezo,Lezo
20,Gipuzkoa,04,2004,Donostialdea,Donostialdea,Donostialdea,063,20063,Oiartzun,Oiartzun
20,Gipuzkoa,04,2004,Donostialdea,Donostialdea,Donostialdea,064,20064,Pasaia,Pasaia
20,Gipuzkoa,04,2004,Donostialdea,Donostialdea,Donostialdea,072,20072,Urnieta,Urnieta
20,Gipuzkoa,04,2004,Donostialdea,Donostialdea,Donostialdea,073,20073,Usurbil,Usurbil
20,Gipuzkoa,05,2005,Goierri,Goierri,Goierri,906,20906,Altzaga,Altzaga
20,Gipuzkoa,05,2005,Goierri,Goierri,Goierri,012,20012,Arama,Arama
20,Gipuzkoa,05,2005,Goierri,Goierri,Goierri,015,20015,Ataun,Ataun
20,Gipuzkoa,05,2005,Goierri,Goierri,Goierri,019,20019,Beasain,Beasain
20,Gipuzkoa,05,2005,Goierri,Goierri,Goierri,035,20035,Ezkio-Itsaso,Ezkio-Itsaso
20,Gipuzkoa,05,2005,Goierri,Goierri,Goierri,038,20038,Gabiria,Gabiria
20,Gipuzkoa,05,2005,Goierri,Goierri,Goierri,037,20037,Gaintza,Gaintza
20,Gipuzkoa,05,2005,Goierri,Goierri,Goierri,043,20043,Idiazabal,Idiazabal
20,Gipuzkoa,05,2005,Goierri,Goierri,Goierri,047,20047,Itsasondo,Itsasondo
